title,author,press_time,money,rating_num,rating_people,short_produce
社会心理学,[美] 戴维·迈尔斯 , 2006-1 , 68.00元,9,19167人评价,人们是如何思索、影响他人并与他人建立联系的
天朝的崩溃,茅海建 , 2005-7 , 32.00元,9.1,11431人评价,鸦片战争再研究
失明症漫记,[葡] 若泽·萨拉马戈 , 2014-2 ,29.5,9.1,13956人评价,失明症迅速蔓延，整个城市陷入一场空前的灾难
我不知道该说什么，关于死亡还是爱情,S.A.阿列克谢耶维奇 , 2014-6-15 , 34.80元,9,15068人评价,真实记录切尔诺贝利核灾难事件
尼罗河上的惨案,[英] 阿加莎·克里斯蒂 , 2006-5 , 22.00元,8.7,38022人评价,阿加莎·克里斯蒂代表作
罗生门,[日]芥川龙之介 , 2008-7 , 12.00元,8.7,51175人评价,人生，远比地狱更像地狱
万物有灵且美,[英] 吉米·哈利 , 2010-1 ,28.8,8.8,18935人评价,活泼的生命完全无须借助魔法，便能对我们述说至美至真的故事
最好的我们,八月长安 , 2013-8-5 ,55,8.7,58992人评价,耿耿余淮
茶馆,老舍 , 2002-1 , 9.80元,9,16453人评价,清末、民初、抗战胜利以后三个历史时期的北京生活风貌
我的天才女友,[意] 埃莱娜·费兰特 , 2017-1 , 42.00元,8.5,63947人评价,“那不勒斯四部曲”第一部，两个女人，50年的友谊和战争
上学记,何兆武 口述 , 2006-8 , 19.80元,8.9,12495人评价,20世纪中国知识分子的心灵史
全球通史,(美) 斯塔夫里阿诺斯 , 2012-2-1 , 168.00元,9.1,12945人评价,从史前史到21世纪
一句顶一万句,刘震云 , 2009-3 ,29.8,8.7,40111人评价,一句胜过千年
倚天屠龙记(共四册),金庸 , 1999-04 ,47,8.6,51433人评价,不识张郎是张郎
总统是靠不住的,林达 , 2004-08 ,21.8,8.8,17981人评价,美国政治法律制度的基本原理和操作细节
荆棘鸟,[澳] 考琳·麦卡洛 , 1998-7 , 28.00元,8.6,46386人评价,澳洲乱世情
人间草木,汪曾祺 , 2005-01 , 20.00元,9.1,17738人评价,我就是要这样香，香得痛痛快快
民主的细节,刘瑜 , 2009-6 ,25,8.6,70206人评价,公民养成手册
顾城的诗,顾城 , 1998-12 ,20,8.8,19882人评价,火焰是我们诗歌唯一的读者
草房子,曹文轩 , 2009-6 , 18.00元,9,24862人评价,男孩桑桑刻骨铭心、终身难忘的六年小学生活
雷雨,曹禺 , 1999-05 ,9.2,8.6,62926人评价,一幕人生大悲剧，在一个雷雨夜爆发
孙子兵法,孙武 , 2006-7 , 20.00元,9.4,9756人评价,我国最古老最杰出的一部兵书
雨季不再来,三毛 , 2007-7 , 28.00元,8.7,42799人评价,三毛少女时代的成长感受
理想国,[古希腊] 柏拉图 , 1986-8 , 28.00元,8.8,24438人评价,人类历史上最早的乌托邦
此生未完成,于娟 , 2011-5 , 26.00元,8.9,17410人评价,一个母亲、妻子、女儿的生命日记
正见,宗萨蒋扬钦哲仁波切 , 2007-1 , 25.00元,8.8,15039人评价,佛陀的证悟
一千零一夜,纳训 , 2003-01 ,22,8.7,47387人评价,阿拉伯地区的古代民间传说
水浒传（全二册）,[明] 施耐庵 , 1997-1 , 50.60元,8.6,60770人评价,替天行道
认识电影,[美] 路易斯·贾内梯 , 2007-11 , 68.00元,8.9,14592人评价,电影入门经典之作
